,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
139,NYJ,CLE,REG,2025,10,2025-11-09,"11/9/25, 13:02:34",2025_10_CLE_NYJ,MetLife Stadium,outdoors,fieldturf,"Cloudy, chance of rain, mild ",62,78,SE 12
140,WAS,DET,REG,2025,10,2025-11-09,"11/9/25, 16:25:32",2025_10_DET_WAS,FedExField,outdoors,grass,,65,79,SE 7
141,HOU,JAX,REG,2025,10,2025-11-09,"11/9/25, 13:03:19",2025_10_JAX_HOU,NRG Stadium,closed,astroturf,,69,37,N 7
142,SF,LA,REG,2025,10,2025-11-09,"11/9/25, 16:25:28",2025_10_LA_SF,Levi's Stadium,outdoors,grass,Sunny ,77,49,SE 3
143,DEN,LV,REG,2025,10,2025-11-06,"11/6/25, 20:16:49",2025_10_LV_DEN,Empower Field at Mile High,outdoors,grass,Partly Cloudy ,60,26,W 10
144,TB,NE,REG,2025,10,2025-11-09,"11/9/25, 13:02:15",2025_10_NE_TB,Raymond James Stadium,outdoors,grass,Cloudy ,82,74,S 11
145,CAR,NO,REG,2025,10,2025-11-09,"11/9/25, 13:02:42",2025_10_NO_CAR,Bank of America Stadium,outdoors,grass,Partly Cloudy ,73,52,SW 15
146,CHI,NYG,REG,2025,10,2025-11-09,"11/9/25, 13:03:04",2025_10_NYG_CHI,Soldier Field,outdoors,grass,Light Snow ,33,68,NW 10
147,GB,PHI,REG,2025,10,2025-11-10,"11/10/25, 20:16:23",2025_10_PHI_GB,Lambeau Field,outdoors,grass,Cloudy ,33,55,NW 9
148,LAC,PIT,REG,2025,10,2025-11-09,"11/9/25, 20:24:12",2025_10_PIT_LAC,SoFi Stadium,dome,matrixturf,Clear ,70,71,W 7
149,CLE,BAL,REG,2025,11,2025-11-16,"11/16/25, 16:25:19",2025_11_BAL_CLE,FirstEnergy Stadium,outdoors,grass,Cloudy ,44,53,NW 20
150,ATL,CAR,REG,2025,11,2025-11-16,"11/16/25, 13:03:13",2025_11_CAR_ATL,Mercedes-Benz Stadium,closed,fieldturf,,72,52,SW 10
151,MIN,CHI,REG,2025,11,2025-11-16,"11/16/25, 13:02:48",2025_11_CHI_MIN,U.S. Bank Stadium,dome,sportturf,,44,40,NW 8
